,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,Fungal infection,,,,,,,,,,,,,
1,skin_rash,nodal_skin_eruptions,dischromic _patches,Fungal infection,,,,,,,,,,,,,,
2,itching,nodal_skin_eruptions,dischromic _patches,Fungal infection,,,,,,,,,,,,,,
3,itching,skin_rash,dischromic _patches,Fungal infection,,,,,,,,,,,,,,
4,itching,skin_rash,nodal_skin_eruptions,Fungal infection,,,,,,,,,,,,,,
5,skin_rash,nodal_skin_eruptions,dischromic _patches,Fungal infection,,,,,,,,,,,,,,
6,itching,nodal_skin_eruptions,dischromic _patches,Fungal infection,,,,,,,,,,,,,,
7,itching,skin_rash,dischromic _patches,Fungal infection,,,,,,,,,,,,,,
8,itching,skin_rash,nodal_skin_eruptions,Fungal infection,,,,,,,,,,,,,,
9,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,Fungal infection,,,,,,,,,,,,,
10,continuous_sneezing,shivering,chills,watering_from_eyes,Allergy,,,,,,,,,,,,,
11,shivering,chills,watering_from_eyes,Allergy,,,,,,,,,,,,,,
12,continuous_sneezing,chills,watering_from_eyes,Allergy,,,,,,,,,,,,,,
13,continuous_sneezing,shivering,watering_from_eyes,Allergy,,,,,,,,,,,,,,
14,continuous_sneezing,shivering,chills,Allergy,,,,,,,,,,,,,,
15,shivering,chills,watering_from_eyes,Allergy,,,,,,,,,,,,,,
16,continuous_sneezing,chills,watering_from_eyes,Allergy,,,,,,,,,,,,,,
17,continuous_sneezing,shivering,watering_from_eyes,Allergy,,,,,,,,,,,,,,
18,continuous_sneezing,shivering,chills,Allergy,,,,,,,,,,,,,,
19,continuous_sneezing,shivering,chills,watering_from_eyes,Allergy,,,,,,,,,,,,,
20,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,GERD,,,,,,,,,,,
21,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,GERD,,,,,,,,,,,,
22,stomach_pain,acidity,vomiting,cough,chest_pain,GERD,,,,,,,,,,,,
23,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,GERD,,,,,,,,,,,,
24,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,GERD,,,,,,,,,,,,
25,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,GERD,,,,,,,,,,,,
26,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,GERD,,,,,,,,,,,,
27,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,GERD,,,,,,,,,,,,
